[2024-01-22 03:29:59,860][ WARN][ffmpeg_video_muxer.cc:78  ] Success: video stream has been written to /home/rock/modelbox/workspace/single_pig_pose/hilens_data_dir/pig_test_result.mp4
[2024-01-22 03:29:59,863][ERROR][flow_scheduler.cc:438 ] the scheduler caught an error : Stop operation
[2024-01-22 03:32:15,246][ WARN][    iva_config.cc:143 ] update vas url failed. Fault, no vas projectid or iva endpoint
[2024-01-22 03:32:15,247][ WARN][         timer.cc:208 ] Schedule timer failed, timer is not running.
[2024-01-22 03:32:16,977][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:32:16,977][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:32:16,983][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:32:16,983][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:32:16,989][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:32:16,989][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:32:16,995][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:32:16,995][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:32:17,002][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:32:17,002][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:32:17,030][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:32:17,030][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:32:17,049][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:32:17,049][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:32:17,055][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:32:17,055][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:32:17,061][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:32:17,062][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:32:17,070][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:32:17,070][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:32:46,340][ WARN][ffmpeg_video_muxer.cc:78  ] Success: video stream has been written to /home/rock/modelbox/workspace/single_pig_pose/hilens_data_dir/pig_test_result.mp4
[2024-01-22 03:32:46,342][ERROR][flow_scheduler.cc:438 ] the scheduler caught an error : Stop operation
[2024-01-22 03:38:07,050][ WARN][    iva_config.cc:143 ] update vas url failed. Fault, no vas projectid or iva endpoint
[2024-01-22 03:38:07,051][ WARN][         timer.cc:208 ] Schedule timer failed, timer is not running.
[2024-01-22 03:38:08,778][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:38:08,778][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:38:08,784][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:38:08,784][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:38:08,791][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:38:08,791][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:38:08,798][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:38:08,798][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:38:08,806][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
